ensembl_gene_id	mgi_symbol	gene_biotype
ENSMUSG00000026090	2010300C02Rik	protein_coding
ENSMUSG00000060771	Tsga10	protein_coding
ENSMUSG00000037216	Lipt1	protein_coding
ENSMUSG00000026088	Mitd1	protein_coding
ENSMUSG00000026087	Mrpl30	protein_coding
ENSMUSG00000061584	Lyg2	protein_coding
ENSMUSG00000026085	Lyg1	protein_coding
ENSMUSG00000058407	Txndc9	protein_coding
ENSMUSG00000026083	Eif5b	protein_coding
ENSMUSG00000026082	Rev1	protein_coding
ENSMUSG00000037138	Aff3	protein_coding
ENSMUSG00000048814	Lonrf2	protein_coding
ENSMUSG00000026080	Chst10	protein_coding
ENSMUSG00000067604	Nms	protein_coding
ENSMUSG00000026078	Pdcl3	protein_coding
ENSMUSG00000026077	Npas2	protein_coding
ENSMUSG00000073702	Rpl31	protein_coding
ENSMUSG00000003134	Tbc1d8	protein_coding
ENSMUSG00000003135	Cnot11	protein_coding
ENSMUSG00000048234	Rnf149	protein_coding
ENSMUSG00000050967	Creg2	protein_coding
ENSMUSG00000057173	Rfx8	protein_coding
ENSMUSG00000091937	Gm3646	protein_coding
ENSMUSG00000026074	Map4k4	protein_coding
ENSMUSG00000026073	Il1r2	protein_coding
ENSMUSG00000026072	Il1r1	protein_coding
ENSMUSG00000070942	Il1rl2	protein_coding
ENSMUSG00000026069	Il1rl1	protein_coding
ENSMUSG00000026070	Il18r1	protein_coding
ENSMUSG00000026068	Il18rap	protein_coding
ENSMUSG00000026065	Slc9a4	protein_coding
ENSMUSG00000026062	Slc9a2	protein_coding
ENSMUSG00000041945	Mfsd9	protein_coding
ENSMUSG00000079588	Tmem182	protein_coding
ENSMUSG00000045515	Pou3f3	protein_coding
ENSMUSG00000060679	Mrps9	protein_coding
ENSMUSG00000041907	Gpr45	protein_coding
ENSMUSG00000070939	Tgfbrap1	protein_coding
ENSMUSG00000010290	AI597479	protein_coding
ENSMUSG00000008136	Fhl2	protein_coding
ENSMUSG00000066877	Nck2	protein_coding
ENSMUSG00000026051	1500015O10Rik	protein_coding
ENSMUSG00000057363	Uxs1	protein_coding
ENSMUSG00000041763	Tpp2	protein_coding
ENSMUSG00000047343	Mettl21c	protein_coding
ENSMUSG00000091844	Gm8251	protein_coding
ENSMUSG00000026049	Tex30	protein_coding
ENSMUSG00000026047	Kdelc1	protein_coding
ENSMUSG00000041684	Bivm	protein_coding
ENSMUSG00000026048	Ercc5	protein_coding
ENSMUSG00000046828	Mettl21e	protein_coding
ENSMUSG00000056870	Gulp1	protein_coding
ENSMUSG00000026043	Col3a1	protein_coding
ENSMUSG00000026042	Col5a2	protein_coding
ENSMUSG00000025995	Wdr75	protein_coding
ENSMUSG00000098549	Gm5269	protein_coding
ENSMUSG00000025993	Slc40a1	protein_coding
ENSMUSG00000041144	Dnah7b	protein_coding
ENSMUSG00000101337	Dnah7c	protein_coding
ENSMUSG00000025986	Slc39a10	protein_coding
ENSMUSG00000026109	Tmeff2	protein_coding
ENSMUSG00000026107	Nabp1	protein_coding
ENSMUSG00000018417	Myo1b	protein_coding
ENSMUSG00000062939	Stat4	protein_coding
ENSMUSG00000026104	Stat1	protein_coding
ENSMUSG00000026103	Gls	protein_coding
ENSMUSG00000002881	Nab1	protein_coding
ENSMUSG00000041439	Mfsd6	protein_coding
ENSMUSG00000026102	Inpp1	protein_coding
ENSMUSG00000041426	Hibch	protein_coding
ENSMUSG00000043629	1700019D03Rik	protein_coding
ENSMUSG00000026100	Mstn	protein_coding
ENSMUSG00000060715	1700019A02Rik	protein_coding
ENSMUSG00000026098	Pms1	protein_coding
ENSMUSG00000026097	Ormdl1	protein_coding
ENSMUSG00000100679	Gm28778	protein_coding
ENSMUSG00000026096	Osgepl1	protein_coding
ENSMUSG00000099913	Gm28551	protein_coding
ENSMUSG00000026095	Asnsd1	protein_coding
ENSMUSG00000096141	Dnah7a	protein_coding
ENSMUSG00000026094	Stk17b	protein_coding
ENSMUSG00000042807	Hecw2	protein_coding
ENSMUSG00000025983	Ccdc150	protein_coding
ENSMUSG00000041303	Gtf3c3	protein_coding
ENSMUSG00000073678	Pgap1	protein_coding
ENSMUSG00000052331	Ankrd44	protein_coding
ENSMUSG00000025982	Sf3b1	protein_coding
ENSMUSG00000025981	Coq10b	protein_coding
ENSMUSG00000025980	Hspd1	protein_coding
ENSMUSG00000073676	Hspe1	protein_coding
ENSMUSG00000025979	Mob4	protein_coding
ENSMUSG00000025978	Rftn2	protein_coding
ENSMUSG00000046994	Mars2	protein_coding
ENSMUSG00000025977	Boll	protein_coding
ENSMUSG00000038349	Plcl1	protein_coding
ENSMUSG00000045336	Hsfy2	protein_coding
ENSMUSG00000038331	Satb2	protein_coding
ENSMUSG00000038323	1700066M21Rik	protein_coding
ENSMUSG00000048495	Tyw5	protein_coding
ENSMUSG00000038305	Spats2l	protein_coding
ENSMUSG00000054770	Kctd18	protein_coding
ENSMUSG00000063558	Aox1	protein_coding
ENSMUSG00000064294	Aox3	protein_coding
ENSMUSG00000038242	Aox4	protein_coding
ENSMUSG00000079554	Aox2	protein_coding
ENSMUSG00000051223	Bzw1	protein_coding
ENSMUSG00000026034	Clk1	protein_coding
ENSMUSG00000026035	Ppil3	protein_coding
ENSMUSG00000026036	Nif3l1	protein_coding
ENSMUSG00000026037	Orc2	protein_coding
ENSMUSG00000038174	Fam126b	protein_coding
ENSMUSG00000026032	Ndufb3	protein_coding
ENSMUSG00000047528	Als2cr12	protein_coding
ENSMUSG00000026031	Cflar	protein_coding
ENSMUSG00000026029	Casp8	protein_coding
ENSMUSG00000026028	Trak2	protein_coding
ENSMUSG00000026027	Stradb	protein_coding
ENSMUSG00000038079	Tmem237	protein_coding
ENSMUSG00000079550	Mpp4	protein_coding
ENSMUSG00000026024	Als2	protein_coding
ENSMUSG00000026023	Cdk15	protein_coding
ENSMUSG00000041075	Fzd7	protein_coding
ENSMUSG00000047361	Gm973	protein_coding
ENSMUSG00000026021	Sumo1	protein_coding
ENSMUSG00000026020	Nop58	protein_coding
ENSMUSG00000067336	Bmpr2	protein_coding
ENSMUSG00000041040	Fam117b	protein_coding
ENSMUSG00000026018	Ica1l	protein_coding
ENSMUSG00000026019	Wdr12	protein_coding
ENSMUSG00000026017	Carf	protein_coding
ENSMUSG00000073664	Nbeal1	protein_coding
ENSMUSG00000049439	Cyp20a1	protein_coding
ENSMUSG00000026782	Abi2	protein_coding
ENSMUSG00000026014	Raph1	protein_coding
ENSMUSG00000026012	Cd28	protein_coding
ENSMUSG00000026011	Ctla4	protein_coding
ENSMUSG00000026009	Icos	protein_coding
ENSMUSG00000052062	Pard3b	protein_coding
ENSMUSG00000025969	Nrp2	protein_coding
ENSMUSG00000040865	Ino80d	protein_coding
ENSMUSG00000025968	Ndufs1	protein_coding
ENSMUSG00000025967	Eef1b2	protein_coding
ENSMUSG00000046856	Gpr1	protein_coding
ENSMUSG00000027520	Zdbf2	protein_coding
ENSMUSG00000025964	Adam23	protein_coding
ENSMUSG00000069085	Dytn	protein_coding
ENSMUSG00000025963	Mdh1b	protein_coding
ENSMUSG00000025962	Fastkd2	protein_coding
ENSMUSG00000025961	4933402D24Rik	protein_coding
ENSMUSG00000025959	Klf7	protein_coding
ENSMUSG00000025958	Creb1	protein_coding
ENSMUSG00000025956	Mettl21a	protein_coding
ENSMUSG00000070871	Ccnyl1	protein_coding
ENSMUSG00000045005	Fzd5	protein_coding
ENSMUSG00000051344	Plekhm3	protein_coding
ENSMUSG00000025955	Akr1cl	protein_coding
ENSMUSG00000070870	Cryge	protein_coding
ENSMUSG00000067299	Crygd	protein_coding
ENSMUSG00000025952	Crygc	protein_coding
ENSMUSG00000073658	Crygb	protein_coding
ENSMUSG00000044429	Cryga	protein_coding
ENSMUSG00000100846	Gm28845	protein_coding
ENSMUSG00000044816	D630023F18Rik	protein_coding
ENSMUSG00000025950	Idh1	protein_coding
ENSMUSG00000025949	Pikfyve	protein_coding
ENSMUSG00000025946	Pth2r	protein_coding
ENSMUSG00000025945	Crygf	protein_coding
ENSMUSG00000015222	Map2	protein_coding
ENSMUSG00000055567	Unc80	protein_coding
ENSMUSG00000026005	Rpe	protein_coding
ENSMUSG00000026004	Kansl1l	protein_coding
ENSMUSG00000026003	Acadl	protein_coding
ENSMUSG00000061816	Myl1	protein_coding
ENSMUSG00000026000	Lancl1	protein_coding
ENSMUSG00000025991	Cps1	protein_coding
ENSMUSG00000062209	Erbb4	protein_coding
ENSMUSG00000025997	Ikzf2	protein_coding
ENSMUSG00000053153	Spag16	protein_coding
ENSMUSG00000045648	Vwc2l	protein_coding
ENSMUSG00000026196	Bard1	protein_coding
ENSMUSG00000050296	Abca12	protein_coding
ENSMUSG00000026192	Atic	protein_coding
ENSMUSG00000026193	Fn1	protein_coding
ENSMUSG00000039395	Mreg	protein_coding
ENSMUSG00000026189	Pecr	protein_coding
ENSMUSG00000026188	Tmem169	protein_coding
ENSMUSG00000026187	Xrcc5	protein_coding
ENSMUSG00000039372	March4	protein_coding
ENSMUSG00000039354	Smarcal1	protein_coding
ENSMUSG00000039342	Ankar	protein_coding
ENSMUSG00000046330	Rpl37a	protein_coding
ENSMUSG00000039323	Igfbp2	protein_coding
ENSMUSG00000026185	Igfbp5	protein_coding
ENSMUSG00000026182	Tnp1	protein_coding
ENSMUSG00000055322	Tns1	protein_coding
ENSMUSG00000061815	Rufy4	protein_coding
ENSMUSG00000026180	Cxcr2	protein_coding
ENSMUSG00000048480	Cxcr1	protein_coding
ENSMUSG00000006304	Arpc2	protein_coding
ENSMUSG00000064272	Gpbar1	protein_coding
ENSMUSG00000006299	Aamp	protein_coding
ENSMUSG00000026179	Pnkd	protein_coding
ENSMUSG00000006301	Tmbim1	protein_coding
ENSMUSG00000073650	Catip	protein_coding
ENSMUSG00000026177	Slc11a1	protein_coding
ENSMUSG00000026176	Ctdsp1	protein_coding
ENSMUSG00000026175	Vil1	protein_coding
ENSMUSG00000033364	Usp37	protein_coding
ENSMUSG00000026173	Plcd4	protein_coding
ENSMUSG00000026135	Zfp142	protein_coding
ENSMUSG00000026172	Bcs1l	protein_coding
ENSMUSG00000026171	Rnf25	protein_coding
ENSMUSG00000033276	Stk36	protein_coding
ENSMUSG00000033257	Ttll4	protein_coding
ENSMUSG00000026170	Cyp27a1	protein_coding
ENSMUSG00000006542	Prkag3	protein_coding
ENSMUSG00000033227	Wnt6	protein_coding
ENSMUSG00000026167	Wnt10a	protein_coding
ENSMUSG00000090071	Cdk5r2	protein_coding
ENSMUSG00000055197	Fev	protein_coding
ENSMUSG00000006546	Cryba2	protein_coding
ENSMUSG00000006538	Ihh	protein_coding
ENSMUSG00000026162	Nhej1	protein_coding
ENSMUSG00000026205	Slc23a3	protein_coding
ENSMUSG00000033159	Cnppd1	protein_coding
ENSMUSG00000026197	Zfand2b	protein_coding
ENSMUSG00000026198	Abcb6	protein_coding
ENSMUSG00000033124	Atg9a	protein_coding
ENSMUSG00000026199	Ankzf1	protein_coding
ENSMUSG00000026200	Glb1l	protein_coding
ENSMUSG00000026201	Stk16	protein_coding
ENSMUSG00000026202	Tuba4a	protein_coding
ENSMUSG00000096094	A630095N17Rik	protein_coding
ENSMUSG00000026203	Dnajb2	protein_coding
ENSMUSG00000026204	Ptprn	protein_coding
ENSMUSG00000033061	Resp18	protein_coding
ENSMUSG00000026209	Dnpep	protein_coding
ENSMUSG00000026208	Des	protein_coding
ENSMUSG00000026207	Speg	protein_coding
ENSMUSG00000033021	Gmppa	protein_coding
ENSMUSG00000033007	Asic4	protein_coding
ENSMUSG00000032997	Chpf	protein_coding
ENSMUSG00000026211	Obsl1	protein_coding
ENSMUSG00000051703	Tmem198	protein_coding
ENSMUSG00000032968	Inha	protein_coding
ENSMUSG00000026213	Stk11ip	protein_coding
ENSMUSG00000006576	Slc4a3	protein_coding
ENSMUSG00000026235	Epha4	protein_coding
ENSMUSG00000004872	Pax3	protein_coding
ENSMUSG00000032908	Sgpp2	protein_coding
ENSMUSG00000026245	Farsb	protein_coding
ENSMUSG00000090486	BC035947	protein_coding
ENSMUSG00000012187	Mogat1	protein_coding
ENSMUSG00000032883	Acsl3	protein_coding
ENSMUSG00000079470	Utp14b	protein_coding
ENSMUSG00000047330	Kcne4	protein_coding
ENSMUSG00000050711	Scg2	protein_coding
ENSMUSG00000054702	Ap1s3	protein_coding
ENSMUSG00000073643	Wdfy1	protein_coding
ENSMUSG00000026248	Mrpl44	protein_coding
ENSMUSG00000026249	Serpine2	protein_coding
ENSMUSG00000043230	Fam124b	protein_coding
ENSMUSG00000004364	Cul3	protein_coding
ENSMUSG00000038608	Dock10	protein_coding
ENSMUSG00000054976	Nyap2	protein_coding
ENSMUSG00000055980	Irs1	protein_coding
ENSMUSG00000022591	Gm9747	protein_coding
ENSMUSG00000026142	Rhbdd1	protein_coding
ENSMUSG00000067158	Col4a4	protein_coding
ENSMUSG00000079465	Col4a3	protein_coding
ENSMUSG00000026150	Mff	protein_coding
ENSMUSG00000026149	Tm4sf20	protein_coding
ENSMUSG00000026159	Agfg1	protein_coding
ENSMUSG00000038496	Slc19a3	protein_coding
ENSMUSG00000100190	Krtap28-10	protein_coding
ENSMUSG00000101315	Krtap28-13	protein_coding
ENSMUSG00000026166	Ccl20	protein_coding
ENSMUSG00000053161	Daw1	protein_coding
ENSMUSG00000026163	Sphkap	protein_coding
ENSMUSG00000045658	Pid1	protein_coding
ENSMUSG00000036766	Dner	protein_coding
ENSMUSG00000026219	Trip12	protein_coding
ENSMUSG00000073633	Fbxo36	protein_coding
ENSMUSG00000026220	Slc16a14	protein_coding
ENSMUSG00000052477	C130026I21Rik	protein_coding
ENSMUSG00000089844	A530032D15Rik	protein_coding
ENSMUSG00000094127	G530012D18Rik	protein_coding
ENSMUSG00000070034	Sp110	protein_coding
ENSMUSG00000070031	Sp140	protein_coding
ENSMUSG00000026222	Sp100	protein_coding
ENSMUSG00000052760	A630001G21Rik	protein_coding
ENSMUSG00000036707	Cab39	protein_coding
ENSMUSG00000026223	Itm2c	protein_coding
ENSMUSG00000026224	4933407L21Rik	protein_coding
ENSMUSG00000049608	Gpr55	protein_coding
ENSMUSG00000026226	Spata3	protein_coding
ENSMUSG00000026227	2810459M11Rik	protein_coding
ENSMUSG00000026229	Psmd1	protein_coding
ENSMUSG00000026228	Htr2b	protein_coding
ENSMUSG00000094638	Gm21972	protein_coding
ENSMUSG00000062590	Armc9	protein_coding
ENSMUSG00000079445	B3gnt7	protein_coding
ENSMUSG00000026234	Ncl	protein_coding
ENSMUSG00000026237	Nmur1	protein_coding
ENSMUSG00000026238	Ptma	protein_coding
ENSMUSG00000026239	Pde6d	protein_coding
ENSMUSG00000026240	Cops7b	protein_coding
ENSMUSG00000026241	Nppc	protein_coding
ENSMUSG00000053333	Dis3l2	protein_coding
ENSMUSG00000026246	Alppl2	protein_coding
ENSMUSG00000079440	Alpi	protein_coding
ENSMUSG00000036500	Akp3	protein_coding
ENSMUSG00000026247	Ecel1	protein_coding
ENSMUSG00000036480	Prss56	protein_coding
ENSMUSG00000026251	Chrnd	protein_coding
ENSMUSG00000026253	Chrng	protein_coding
ENSMUSG00000026254	Eif4e2	protein_coding
ENSMUSG00000026255	Efhd1	protein_coding
ENSMUSG00000048000	Gigyf2	protein_coding
ENSMUSG00000079436	Kcnj13	protein_coding
ENSMUSG00000026259	Ngef	protein_coding
ENSMUSG00000079434	Neu2	protein_coding
ENSMUSG00000026288	Inpp5d	protein_coding
ENSMUSG00000026289	Atg16l1	protein_coding
ENSMUSG00000056055	Sag	protein_coding
ENSMUSG00000070738	Dgkd	protein_coding
ENSMUSG00000005501	Usp40	protein_coding
ENSMUSG00000090165	Ugt1a10	protein_coding
ENSMUSG00000090175	Ugt1a9	protein_coding
ENSMUSG00000089675	Ugt1a8	protein_coding
ENSMUSG00000090124	Ugt1a7c	protein_coding
ENSMUSG00000090145	Ugt1a6b	protein_coding
ENSMUSG00000054545	Ugt1a6a	protein_coding
ENSMUSG00000089943	Ugt1a5	protein_coding
ENSMUSG00000090171	Ugt1a2	protein_coding
ENSMUSG00000081984	Dnajb3	protein_coding
ENSMUSG00000089960	Ugt1a1	protein_coding
ENSMUSG00000079429	Mroh2a	protein_coding
ENSMUSG00000044783	Hjurp	protein_coding
ENSMUSG00000036251	Trpm8	protein_coding
ENSMUSG00000026295	Spp2	protein_coding
ENSMUSG00000062310	Glrp1	protein_coding
